...1,year,month,region,state,victim_age,victim_sex,victim_race,victim_race_plus_hispanic,victim_ethnicity,weapon_used,victim_offender_split,offenders_relationship_to_victim,offenders_relationship_to_victim_grouping,offender_sex,circumstance,circumstance_grouping,extra_circumstance_info,multiple_victim_count,incident_id,additional_victim
374637,2017,11,Midwest,OH,30,Male,Black,Black,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,512255,FALSE
368367,2017,6,Southwest,CO,25,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,firearm,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,0,504251,FALSE
369245,2017,9,Midwest,IA,60,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Female,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,505396,FALSE
367681,2017,3,Southwest,CA,43,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Multiple Offenders,stranger,Offender Not Known to Victim,Male,Juvenile Gang Killings,Other Than Felony Type,NA,0,503273,FALSE
370513,2017,11,Midwest,KY,30,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Multiple Offenders,stranger,Offender Not Known to Victim,Male,Other - not specified (Felony Type),Felony Type,NA,0,506884,FALSE
373408,2017,4,Northeast,NJ,26,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,510587,FALSE
367730,2017,4,Southwest,CA,20,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Juvenile Gang Killings,Other Than Felony Type,NA,0,503347,FALSE
374110,2017,7,Northeast,NY,19,Male,Black,Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Gangland Killings,Other Than Felony Type,NA,0,511511,FALSE
376088,2017,7,Southeast,TN,24,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,other - known to victim,Outside Family But Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,514124,FALSE
366864,2017,7,Southwest,CA,19,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,502223,FALSE
376011,2017,7,Southeast,TN,39,Male,Black,Black,Unknown,handgun,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,514029,FALSE
374654,2017,12,Midwest,OH,33,Male,Black,Black,Not of Hispanic Origin,firearm,Multiple Victims/Multiple Offenders,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,1,512275,TRUE
372491,2017,5,Midwest,MO,28,Male,Black,Black,Not of Hispanic Origin,firearm,Single Victim/Single Offender,unknown,Unknown Relationship,Male,Narcotic Drug Laws,Felony Type,NA,0,509452,FALSE
372097,2017,4,Midwest,MN,27,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,NA,0,508972,FALSE
369910,2017,10,Midwest,IL,43,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Brawl Due to Influence of Narcotics,Other Than Felony Type,NA,0,506172,FALSE
376518,2017,2,Southeast,TX,50,Female,White (includes Mexican-Americans),White,Unknown,firearm,Single Victim/Single Offender,wife,Within Family,Male,Other Arguments,Other Than Felony Type,NA,0,514653,FALSE
375770,2017,7,Southeast,SC,28,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,firearm,Single Victim/Single Offender,other - known to victim,Outside Family But Known to Victim,Female,Other Arguments,Other Than Felony Type,NA,0,513735,FALSE
368840,2017,3,Southeast,GA,51,Male,White (includes Mexican-Americans),White,Unknown,handgun,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,Robbery,Felony Type,NA,0,504875,FALSE
369784,2017,7,Midwest,IL,25,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Other (Other Than Felony Type),Other Than Felony Type,NA,0,506049,FALSE
371467,2017,5,Northeast,MD,38,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,508112,FALSE
375886,2017,3,Southeast,SC,28,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,Other Arguments,Other Than Felony Type,NA,0,513867,FALSE
367786,2017,12,Southwest,CA,35,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,other - known to victim,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,NA,0,503431,FALSE
367665,2017,2,Southwest,CA,25,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Juvenile Gang Killings,Other Than Felony Type,NA,0,503256,FALSE
368552,2017,4,Northeast,DC,26,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,504525,FALSE
373636,2017,8,Southwest,NM,27,Female,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Other (Other Than Felony Type),Other Than Felony Type,NA,0,510872,FALSE
375098,2017,7,Northeast,PA,60,Male,Black,Black,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All suspected Felony Type,Suspected Felony Type,NA,0,512890,FALSE
372917,2017,4,Southeast,NC,21,Female,Black,Black,Unknown,handgun,Multiple Victims/Multiple Offenders,unknown,Unknown Relationship,Male,Other Arguments,Other Than Felony Type,NA,1,509961,TRUE
377540,2017,1,Southwest,UT,19,Male,White (includes Mexican-Americans),White,Unknown,handgun,Single Victim/Multiple Offenders,acquaintance,Outside Family But Known to Victim,Male,Robbery,Felony Type,NA,0,515973,FALSE
372254,2017,11,Midwest,MO,10,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,daughter,Within Family,Female,Other Arguments,Other Than Felony Type,NA,0,509196,FALSE
377027,2017,8,Southeast,TX,28,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Robbery,Felony Type,NA,0,515331,FALSE
372566,2017,7,Midwest,MO,26,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Other Arguments,Other Than Felony Type,NA,0,509532,FALSE
367546,2017,1,Southwest,CA,69,Female,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,wife,Within Family,Male,Other Arguments,Other Than Felony Type,NA,0,503092,FALSE
374961,2017,2,Northwest,OR,35,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,ex-wife,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,NA,0,512688,FALSE
366770,2017,11,Southwest,AZ,Less than one year old,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,1,502082,FALSE
377166,2017,11,Southeast,TX,42,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,515519,FALSE
372112,2017,3,Midwest,MN,24,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,other family,Outside Family But Known to Victim,Male,Other Negligent Handling of Gun Which Results in Death of Another,Manslaughter by Negligent Circumstances,NA,0,508992,FALSE
376980,2017,8,Southeast,TX,34,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,515270,FALSE
377982,2017,12,Northwest,WA,44,Male,Asian or Pacific Islander,Asian or Pacific Islander,Not of Hispanic Origin,handgun,Single Victim/Single Offender,other family,Outside Family But Known to Victim,Female,Other (Other Than Felony Type),Other Than Felony Type,NA,0,516564,FALSE
370860,2017,6,Southeast,LA,27,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,Other Arguments,Other Than Felony Type,NA,0,507307,FALSE
376417,2017,5,Southeast,TX,80,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Other Arguments,Other Than Felony Type,NA,0,514521,FALSE
370905,2017,10,Southeast,LA,41,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),other - known to victim,Outside Family But Known to Victim,Unknown,Other (Other Than Felony Type),Other Than Felony Type,NA,0,507362,FALSE
378019,2017,5,Northwest,WA,21,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,brother,Within Family,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,0,516619,FALSE
367213,2017,9,Southwest,CA,21,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Juvenile Gang Killings,Other Than Felony Type,NA,0,502666,FALSE
367832,2017,8,Southwest,CA,37,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,NA,0,503485,FALSE
377567,2017,6,Southwest,UT,6,Male,White (includes Mexican-Americans),White,Unknown,handgun,Multiple Victims/Single Offender,unknown,Outside Family But Known to Victim,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,1,516008,TRUE
369805,2017,3,Midwest,IL,17,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,506069,FALSE
371259,2017,11,Northeast,MD,17,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,507829,FALSE
370918,2017,12,Southeast,LA,46,Male,White (includes Mexican-Americans),White,Unknown,rifle,Single Victim/Single Offender,unknown,Unknown Relationship,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,0,507377,FALSE
372202,2017,5,Midwest,MO,39,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,mother,Within Family,Male,Other Arguments,Other Than Felony Type,NA,0,509125,FALSE
367527,2017,10,Southwest,CA,21,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),other - known to victim,Outside Family But Known to Victim,Unknown,Juvenile Gang Killings,Other Than Felony Type,NA,0,503070,FALSE
376501,2017,10,Southeast,TX,15,Female,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,friend,Outside Family But Known to Victim,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,0,514631,FALSE
378296,2017,4,Southeast,WV,57,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,unknown,Unknown Relationship,Unknown,All Other Manslaughter by Negligence Except Traffic Deaths,Manslaughter by Negligent Circumstances,NA,0,517023,FALSE
377474,2017,1,Southeast,TX,36,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Argument Over Money or Property,Other Than Felony Type,NA,0,515876,FALSE
370447,2017,12,Midwest,KS,46,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Multiple Offenders,other - known to victim,Outside Family But Known to Victim,Male,Other - not specified (Felony Type),Felony Type,NA,0,506789,FALSE
374510,2017,10,Midwest,OH,37,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,unknown,Unknown Relationship,Male,Other Arguments,Other Than Felony Type,NA,0,512112,FALSE
370196,2017,12,Midwest,IN,20,Male,White (includes Mexican-Americans),White,Unknown,handgun,Single Victim/Multiple Offenders,acquaintance,Outside Family But Known to Victim,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,0,506489,FALSE
369831,2017,10,Midwest,IL,35,Male,Black,Black,Not of Hispanic Origin,rifle,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Gangland Killings,Other Than Felony Type,NA,1,506091,TRUE
375100,2017,6,Northeast,PA,18,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,unknown,Unknown Relationship,Male,Brawl Due to Influence of Narcotics,Other Than Felony Type,NA,0,512894,FALSE
376753,2017,6,Southeast,TX,48,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,father,Within Family,Male,Other Arguments,Other Than Felony Type,NA,0,514973,FALSE
373351,2017,3,Northeast,NJ,24,Male,Black,Black,Unknown,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,510505,FALSE
368008,2017,3,Southwest,CA,34,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Multiple Offenders,stranger,Offender Not Known to Victim,Male,Felon Killed by Police,Justifiable Homicide,Not Enough Information to Determine,0,503754,FALSE
367775,2017,3,Southwest,CA,16,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,503410,FALSE
367387,2017,4,Southwest,CA,21,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Juvenile Gang Killings,Other Than Felony Type,NA,0,502888,FALSE
367744,2017,11,Southwest,CA,34,Female,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,NA,0,503365,FALSE
369713,2017,7,Midwest,IL,34,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,rifle,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,505974,FALSE
374835,2017,10,Southeast,OK,21,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,512516,FALSE
377178,2017,12,Southeast,TX,22,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Other (Other Than Felony Type),Other Than Felony Type,NA,0,515533,FALSE
374152,2017,11,Northeast,NY,20,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,friend,Outside Family But Known to Victim,Male,Gangland Killings,Other Than Felony Type,NA,0,511581,FALSE
377764,2017,9,Southeast,VA,23,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,516303,FALSE
369905,2017,10,Midwest,IL,40,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Other (Other Than Felony Type),Other Than Felony Type,NA,0,506167,FALSE
371071,2017,3,Southeast,LA,49,Male,Black,Black,Unknown,firearm,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,Other Arguments,Other Than Felony Type,NA,0,507570,FALSE
371367,2017,6,Northeast,MD,26,Male,Black,Black,Unknown,firearm,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,507989,FALSE
374734,2017,6,Midwest,OH,30,Male,Black,Black,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,512369,FALSE
373231,2017,9,Southeast,NC,49,Male,Black,Black,Unknown,handgun,Single Victim/Multiple Offenders,acquaintance,Outside Family But Known to Victim,Male,Other - not specified (Felony Type),Felony Type,NA,0,510341,FALSE
372107,2017,6,Midwest,MN,17,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,508987,FALSE
366533,2017,1,Southeast,AR,36,Male,Black,Black,Not of Hispanic Origin,handgun,Multiple Victims/Single Offender,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,1,501742,FALSE
375288,2017,10,Northeast,PA,23,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Narcotic Drug Laws,Felony Type,NA,0,513148,FALSE
370857,2017,11,Southeast,LA,24,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,other family,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,NA,0,507301,FALSE
369545,2017,2,Midwest,IL,36,Female,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,wife,Within Family,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,0,505795,FALSE
371805,2017,2,Midwest,MI,13,Male,White (includes Mexican-Americans),White,Unknown,rifle,Single Victim/Single Offender,unknown,Unknown Relationship,Male,Victim Shot in Hunting Accident,Manslaughter by Negligent Circumstances,NA,0,508600,FALSE
368559,2017,12,Northeast,DC,20,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,504538,FALSE
375433,2017,6,Northeast,PA,21,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Robbery,Felony Type,NA,0,513332,FALSE
374855,2017,10,Southeast,OK,60,Male,White (includes Mexican-Americans),White,Unknown,handgun,Single Victim/Single Offender,in-law,Within Family,Male,Other Arguments,Other Than Felony Type,NA,0,512545,FALSE
372226,2017,6,Midwest,MO,29,Female,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Multiple Offenders,acquaintance,Outside Family But Known to Victim,Male,Other Arguments,Other Than Felony Type,NA,0,509160,FALSE
368811,2017,2,Southeast,GA,18,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,Robbery,Felony Type,NA,0,504844,FALSE
370292,2017,9,Midwest,IN,18,Male,Black,Black,Not of Hispanic Origin,firearm,Multiple Victims/Single Offender,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,1,506596,TRUE
375827,2017,1,Southeast,SC,4,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Multiple Victims/Single Offender,unknown,Within Family,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,1,513799,TRUE
372967,2017,1,Southeast,NC,45,Male,Unknown,Unknown,Unknown,unknown gun,Single Victim/Single Offender,acquaintance,Outside Family But Known to Victim,Male,Narcotic Drug Laws,Felony Type,NA,0,510020,FALSE
375496,2017,4,Northeast,PA,38,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,other - known to victim,Outside Family But Known to Victim,Male,Narcotic Drug Laws,Felony Type,NA,0,513406,FALSE
369970,2017,11,Midwest,IL,25,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,506229,FALSE
373642,2017,10,Southwest,NM,37,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,firearm,Single Victim/Single Offender,unknown,Unknown Relationship,Male,Other (Other Than Felony Type),Other Than Felony Type,NA,0,510882,FALSE
377063,2017,7,Southeast,TX,31,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,unknown,Unknown Relationship,Male,Other Arguments,Other Than Felony Type,NA,0,515392,FALSE
369636,2017,4,Midwest,IL,17,Male,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Juvenile Gang Killings,Other Than Felony Type,NA,0,505895,FALSE
377769,2017,10,Southeast,VA,20,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Multiple Offenders,unknown,Unknown Relationship,Male,Other Arguments,Other Than Felony Type,NA,0,516310,FALSE
366943,2017,6,Southwest,CA,42,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,502319,FALSE
371722,2017,9,Midwest,MI,28,Male,Black,Black,Unknown,firearm,Single Victim/Single Offender,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,508426,FALSE
372233,2017,10,Midwest,MO,72,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Multiple Offenders,stranger,Offender Not Known to Victim,Male,Burglary,Felony Type,NA,0,509167,FALSE
372776,2017,10,Southeast,MS,21,Female,Black,Black,Not of Hispanic Origin,handgun,Single Victim/Single Offender,unknown,Unknown Relationship,Male,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,509760,FALSE
374528,2017,1,Midwest,OH,23,Male,Black,Black,Not of Hispanic Origin,firearm,Single Victim/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,0,512135,FALSE
369488,2017,4,Midwest,IL,21,Male,Black,Black,Unknown,handgun,Multiple Victims/Single Offender,stranger,Offender Not Known to Victim,Male,Robbery,Felony Type,NA,1,505724,FALSE
371147,2017,1,Southeast,LA,18,Female,Black,Black,Unknown,firearm,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,1,507649,FALSE
368201,2017,10,Southwest,CA,32,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,firearm,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,All instances where the facts provided do not permit determination of circumstances,Unable to Determine Circumstances,NA,1,504021,FALSE
367514,2017,12,Southwest,CA,29,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Multiple Victims/Unknown Offender(s),unknown,Unknown Relationship,Unknown,Juvenile Gang Killings,Other Than Felony Type,NA,1,503051,TRUE
367806,2017,3,Southwest,CA,53,Male,White (includes Mexican-Americans),White,Not of Hispanic Origin,handgun,Single Victim/Single Offender,boyfriend,Outside Family But Known to Victim,Female,Other Arguments,Other Than Felony Type,NA,0,503454,FALSE
376474,2017,6,Southeast,TX,56,Male,White (includes Mexican-Americans),Hispanic Origin,Hispanic Origin,handgun,Single Victim/Single Offender,stranger,Offender Not Known to Victim,Male,Burglary,Felony Type,NA,0,514593,FALSE
